Id,Label,timeset,nodecolor-multimode,modularity_class,Degree,Year
John Wilson,John Wilson,"<[1830.0, 1895.0]>",blue,5,1,
James C. Watson,James C. Watson,"<[1830.0, 1895.0]>",blue,5,1,
Giles Scott,Giles Scott,"<[1830.0, 1895.0]>",blue,5,1,
Benjamin Harris,Benjamin Harris,"<[1830.0, 1895.0]>",blue,5,1,
William Jackson,William Jackson,"<[1830.0, 1895.0]>",blue,10,4,
John B. Roberts,John B. Roberts,"<[1830.0, 1895.0]>",blue,5,1,
J. H. Townsend,J. H. Townsend,"<[1830.0, 1895.0]>",blue,12,5,
Joseph Thomas,Joseph Thomas,"<[1830.0, 1895.0]>",blue,5,1,
Benjamin Freeman,Benjamin Freeman,"<[1830.0, 1895.0]>",blue,5,1,
John Williams,John Williams,"<[1830.0, 1895.0]>",blue,17,2,
Smithie,Smithie,"<[1830.0, 1895.0]>",blue,5,1,
H. Gibbons,H. Gibbons,"<[1830.0, 1895.0]>",blue,5,1,
Darby,Darby,"<[1830.0, 1895.0]>",blue,5,1,
Amos Waterman,Amos Waterman,"<[1830.0, 1895.0]>",blue,5,1,
Gideon Lewis,Gideon Lewis,"<[1830.0, 1895.0]>",blue,5,3,
Levy Anderson,Levy Anderson,"<[1830.0, 1895.0]>",blue,5,1,
Alex. Crummell,Alex. Crummell,"<[1830.0, 1895.0]>",blue,15,2,
J. W. Admas,J. W. Admas,"<[1830.0, 1895.0]>",blue,5,1,
A Crummell,A Crummell,"<[1830.0, 1895.0]>",blue,5,1,
C. P. Rogers,C. P. Rogers,"<[1830.0, 1895.0]>",blue,5,1,
Stehen Smith,Stehen Smith,"<[1830.0, 1895.0]>",blue,5,1,
Williams B. Adams,Williams B. Adams,"<[1830.0, 1895.0]>",blue,5,1,
Crummill,Crummill,"<[1830.0, 1895.0]>",blue,22,2,
Ignatius Beck,Ignatius Beck,"<[1830.0, 1895.0]>",blue,5,1,
J.W. Addams,J.W. Addams,"<[1830.0, 1895.0]>",blue,5,1,
George Amos,George Amos,"<[1830.0, 1895.0]>",blue,5,1,
E. P. Rorgers,E. P. Rorgers,"<[1830.0, 1895.0]>",blue,5,1,
H. Davis,H. Davis,"<[1830.0, 1895.0]>",blue,5,1,
H.H. Webb,H.H. Webb,"<[1830.0, 1895.0]>",blue,5,1,
D. A. Payne,D. A. Payne,"<[1830.0, 1895.0]>",blue,5,1,
Jno,Jno,"<[1830.0, 1895.0]>",blue,23,3,
F. Cook,F. Cook,"<[1830.0, 1895.0]>",blue,5,1,
Francis Datcher,Francis Datcher,"<[1830.0, 1895.0]>",blue,5,1,
Jos. Warren,Jos. Warren,"<[1830.0, 1895.0]>",blue,5,1,
Collins,Collins,"<[1830.0, 1895.0]>",blue,14,5,
Enoch Bell,Enoch Bell,"<[1830.0, 1895.0]>",blue,5,1,
T. Watkins,T. Watkins,"<[1830.0, 1895.0]>",blue,5,1,
Daniel W. Moore,Daniel W. Moore,"<[1830.0, 1895.0]>",blue,5,1,
Joseph Lewis,Joseph Lewis,"<[1830.0, 1895.0]>",blue,5,1,
D. Coburn,D. Coburn,"<[1830.0, 1895.0]>",blue,5,1,
H. C. Turner,H. C. Turner,"<[1830.0, 1895.0]>",blue,5,1,
Lea,Lea,"<[1830.0, 1895.0]>",blue,5,1,
J. C. Fortie,J. C. Fortie,"<[1830.0, 1895.0]>",blue,5,1,
M. R. Delany,M. R. Delany,"<[1830.0, 1895.0]>",blue,19,5,
F. Davis,F. Davis,"<[1830.0, 1895.0]>",blue,5,1,
J. Cole,J. Cole,"<[1830.0, 1895.0]>",blue,5,1,
D. Mahony,D. Mahony,"<[1830.0, 1895.0]>",blue,5,1,
R. Thomas,R. Thomas,"<[1830.0, 1895.0]>",blue,5,2,
S. Holcomb,S. Holcomb,"<[1830.0, 1895.0]>",blue,5,1,
J. Smith,J. Smith,"<[1830.0, 1895.0]>",blue,5,2,
B. Steward,B. Steward,"<[1830.0, 1895.0]>",blue,5,1,
C. Caldwell,C. Caldwell,"<[1830.0, 1895.0]>",blue,5,1,
1843.MI-10.26.DETR.txt,1843.MI-10.26.DETR.txt,"<[1843.0, 1843.0]>",red,17,89,1843
O. P. Hoyt,O. P. Hoyt,"<[1830.0, 1895.0]>",blue,17,1,
Wm. Lambert,Wm. Lambert,"<[1830.0, 1895.0]>",blue,17,1,
Wm. C. Monroe,Wm. C. Monroe,"<[1830.0, 1895.0]>",blue,17,1,
F. Delany,F. Delany,"<[1830.0, 1895.0]>",blue,17,1,
O.P. Hoyt,O.P. Hoyt,"<[1830.0, 1895.0]>",blue,17,1,
W. C. Monroe,W. C. Monroe,"<[1830.0, 1895.0]>",blue,17,2,
W. R. Wilson,W. R. Wilson,"<[1830.0, 1895.0]>",blue,17,1,
Lambert,Lambert,"<[1830.0, 1895.0]>",blue,17,1,
Brooks,Brooks,"<[1830.0, 1895.0]>",blue,25,7,
M. J. Lightfoot,M. J. Lightfoot,"<[1830.0, 1895.0]>",blue,17,1,
A. Derrick,A. Derrick,"<[1830.0, 1895.0]>",blue,17,1,
J. W. Brooks,J. W. Brooks,"<[1830.0, 1895.0]>",blue,17,2,
A. Aray,A. Aray,"<[1830.0, 1895.0]>",blue,17,1,
G. B. Blanks,G. B. Blanks,"<[1830.0, 1895.0]>",blue,17,1,
Marshall,Marshall,"<[1830.0, 1895.0]>",blue,17,3,
Richard Gordon,Richard Gordon,"<[1830.0, 1895.0]>",blue,17,1,
W.C. Monroe,W.C. Monroe,"<[1830.0, 1895.0]>",blue,17,1,
William Dolerson,William Dolerson,"<[1830.0, 1895.0]>",blue,17,1,
William Lambert,William Lambert,"<[1830.0, 1895.0]>",blue,19,3,
Willis R. Wilson,Willis R. Wilson,"<[1830.0, 1895.0]>",blue,17,1,
Alford Derrick,Alford Derrick,"<[1830.0, 1895.0]>",blue,17,1,
Madison J. Lightfoot,Madison J. Lightfoot,"<[1830.0, 1895.0]>",blue,17,1,
Robert Allen,Robert Allen,"<[1830.0, 1895.0]>",blue,17,2,
George R. Sims,George R. Sims,"<[1830.0, 1895.0]>",blue,17,1,
Henry Bibb,Henry Bibb,"<[1830.0, 1895.0]>",blue,17,4,
Othello P. Hoyt,Othello P. Hoyt,"<[1830.0, 1895.0]>",blue,17,1,
Calvin Hackett,Calvin Hackett,"<[1830.0, 1895.0]>",blue,17,1,
Henry Calvin,Henry Calvin,"<[1830.0, 1895.0]>",blue,17,1,
A. R. West,A. R. West,"<[1830.0, 1895.0]>",blue,17,1,
William Smith,William Smith,"<[1830.0, 1895.0]>",blue,10,2,
W. Hardy,W. Hardy,"<[1830.0, 1895.0]>",blue,17,1,
John Rigs,John Rigs,"<[1830.0, 1895.0]>",blue,17,1,
Nelson Ockry,Nelson Ockry,"<[1830.0, 1895.0]>",blue,17,1,
Asher Aray,Asher Aray,"<[1830.0, 1895.0]>",blue,17,1,
Thomas Freeman,Thomas Freeman,"<[1830.0, 1895.0]>",blue,17,1,
Dolerson,Dolerson,"<[1830.0, 1895.0]>",blue,17,1,
J.W. Brooks,J.W. Brooks,"<[1830.0, 1895.0]>",blue,17,1,
P. Hoyt,P. Hoyt,"<[1830.0, 1895.0]>",blue,17,1,
Sharon,Sharon,"<[1830.0, 1895.0]>",blue,17,1,
William Hardy,William Hardy,"<[1830.0, 1895.0]>",blue,17,1,
George W. Tucker,George W. Tucker,"<[1830.0, 1895.0]>",blue,17,1,
Almond Goff,Almond Goff,"<[1830.0, 1895.0]>",blue,17,1,
H. Bibb,H. Bibb,"<[1830.0, 1895.0]>",blue,17,3,
Wm. Dolerson,Wm. Dolerson,"<[1830.0, 1895.0]>",blue,17,1,
R. Allen,R. Allen,"<[1830.0, 1895.0]>",blue,17,3,
Ockry,Ockry,"<[1830.0, 1895.0]>",blue,17,1,
R. Gordon,R. Gordon,"<[1830.0, 1895.0]>",blue,17,2,
Jabez M. Fitch,Jabez M. Fitch,"<[1830.0, 1895.0]>",blue,17,1,
Clarkson,Clarkson,"<[1830.0, 1895.0]>",blue,17,1,
Lovejoy,Lovejoy,"<[1830.0, 1895.0]>",blue,17,1,
John Riggs,John Riggs,"<[1830.0, 1895.0]>",blue,17,1,
J. Anderson,J. Anderson,"<[1830.0, 1895.0]>",blue,19,3,
J. Brooks,J. Brooks,"<[1830.0, 1895.0]>",blue,17,1,
Green,Green,"<[1830.0, 1895.0]>",blue,17,6,
Lycurgus,Lycurgus,"<[1830.0, 1895.0]>",blue,17,1,
Napoleon,Napoleon,"<[1830.0, 1895.0]>",blue,17,2,
Herodotus,Herodotus,"<[1830.0, 1895.0]>",blue,17,1,
Calvin Hacket,Calvin Hacket,"<[1830.0, 1895.0]>",blue,17,1,
Calhoun,Calhoun,"<[1830.0, 1895.0]>",blue,15,2,
John Smith,John Smith,"<[1830.0, 1895.0]>",blue,17,1,
Samuel Dickerson,Samuel Dickerson,"<[1830.0, 1895.0]>",blue,17,1,
Henry Powers,Henry Powers,"<[1830.0, 1895.0]>",blue,17,1,
Jefferson Fitzgerald Of York,Jefferson Fitzgerald Of York,"<[1830.0, 1895.0]>",blue,17,1,
Gordon,Gordon,"<[1830.0, 1895.0]>",blue,17,5,
Wm. Smith,Wm. Smith,"<[1830.0, 1895.0]>",blue,17,1,
Bibb,Bibb,"<[1830.0, 1895.0]>",blue,17,4,
Frederick Douglass,Frederick Douglass,"<[1830.0, 1895.0]>",blue,15,22,
William Wilberforce,William Wilberforce,"<[1830.0, 1895.0]>",blue,11,2,
Thomas Clarkson,Thomas Clarkson,"<[1830.0, 1895.0]>",blue,17,1,
Granville Sharpe,Granville Sharpe,"<[1830.0, 1895.0]>",blue,17,1,
Wilberforce,Wilberforce,"<[1830.0, 1895.0]>",blue,17,1,
Elijah P. Lovejoy,Elijah P. Lovejoy,"<[1830.0, 1895.0]>",blue,17,1,
Nathanael Greene,Nathanael Greene,"<[1830.0, 1895.0]>",blue,17,1,
Christopher Greene,Christopher Greene,"<[1830.0, 1895.0]>",blue,17,2,
Philip S. Foner,Philip S. Foner,"<[1830.0, 1895.0]>",blue,17,2,
Pindar,Pindar,"<[1830.0, 1895.0]>",blue,17,1,
Pythagoras,Pythagoras,"<[1830.0, 1895.0]>",blue,17,1,
Plato,Plato,"<[1830.0, 1895.0]>",blue,17,1,
Socrates,Socrates,"<[1830.0, 1895.0]>",blue,17,1,
Strabo,Strabo,"<[1830.0, 1895.0]>",blue,17,1,
Apollonius Rhodius,Apollonius Rhodius,"<[1830.0, 1895.0]>",blue,17,1,
Rhodes,Rhodes,"<[1830.0, 1895.0]>",blue,17,1,
1843.NY-08.15.BUFF.txt,1843.NY-08.15.BUFF.txt,"<[1843.0, 1843.0]>",red,3,200,1843
A. J. Gorden,A. J. Gorden,"<[1830.0, 1895.0]>",blue,3,1,
Henry Highland Garnit,Henry Highland Garnit,"<[1830.0, 1895.0]>",blue,3,1,
Samuel H. Davis,Samuel H. Davis,"<[1830.0, 1895.0]>",blue,3,1,
James Fountain,James Fountain,"<[1830.0, 1895.0]>",blue,3,1,
Davis,Davis,"<[1830.0, 1895.0]>",blue,20,3,
Henry Thomas,Henry Thomas,"<[1830.0, 1895.0]>",blue,3,1,
J.H. Townsend,J.H. Townsend,"<[1830.0, 1895.0]>",blue,15,2,
Ware,Ware,"<[1830.0, 1895.0]>",blue,3,1,
Robert Banks,Robert Banks,"<[1830.0, 1895.0]>",blue,3,1,
F. Douglass,F. Douglass,"<[1830.0, 1895.0]>",blue,17,5,
D. Lewis,D. Lewis,"<[1830.0, 1895.0]>",blue,3,3,
N. W. Jones,N. W. Jones,"<[1830.0, 1895.0]>",blue,3,1,
W. W. Brown,W. W. Brown,"<[1830.0, 1895.0]>",blue,3,2,
Chas,Chas,"<[1830.0, 1895.0]>",blue,9,14,
B. Ray,B. Ray,"<[1830.0, 1895.0]>",blue,12,4,
H. H. Garnit,H. H. Garnit,"<[1830.0, 1895.0]>",blue,3,1,
R. Francis,R. Francis,"<[1830.0, 1895.0]>",blue,3,2,
Frederic Douglass,Frederic Douglass,"<[1830.0, 1895.0]>",blue,3,1,
C.L. Remond,C.L. Remond,"<[1830.0, 1895.0]>",blue,11,2,
A.G. Beman,A.G. Beman,"<[1830.0, 1895.0]>",blue,15,3,
Amos G. Beman,Amos G. Beman,"<[1830.0, 1895.0]>",blue,14,7,
F. Piere,F. Piere,"<[1830.0, 1895.0]>",blue,3,1,
W. W. Matthews,W. W. Matthews,"<[1830.0, 1895.0]>",blue,3,1,
H. Johnson,H. Johnson,"<[1830.0, 1895.0]>",blue,15,3,
W. Duffin,W. Duffin,"<[1830.0, 1895.0]>",blue,3,1,
David Lewis,David Lewis,"<[1830.0, 1895.0]>",blue,3,3,
C. Lennox Remond,C. Lennox Remond,"<[1830.0, 1895.0]>",blue,3,1,
M. C. Munro,M. C. Munro,"<[1830.0, 1895.0]>",blue,3,1,
Townsend,Townsend,"<[1830.0, 1895.0]>",blue,15,4,
N. W.Jones,N. W.Jones,"<[1830.0, 1895.0]>",blue,3,1,
Weir,Weir,"<[1830.0, 1895.0]>",blue,3,2,
Morris,Morris,"<[1830.0, 1895.0]>",blue,17,6,
C. L. Remond,C. L. Remond,"<[1830.0, 1895.0]>",blue,11,5,
James N. Gloucester,James N. Gloucester,"<[1830.0, 1895.0]>",blue,3,1,
Fred,Fred,"<[1830.0, 1895.0]>",blue,3,4,
A. G. Beman,A. G. Beman,"<[1830.0, 1895.0]>",blue,15,6,
N. Y. City,N. Y. City,"<[1830.0, 1895.0]>",blue,3,1,
Wm. P. Mcintire,Wm. P. Mcintire,"<[1830.0, 1895.0]>",blue,3,1,
John Wendall,John Wendall,"<[1830.0, 1895.0]>",blue,3,1,
T. Woodson,T. Woodson,"<[1830.0, 1895.0]>",blue,3,1,
B. S. Anderson,B. S. Anderson,"<[1830.0, 1895.0]>",blue,3,1,
Jason Jeffrey,Jason Jeffrey,"<[1830.0, 1895.0]>",blue,3,1,
Noah Palk,Noah Palk,"<[1830.0, 1895.0]>",blue,3,1,
H. W. Johnson,H. W. Johnson,"<[1830.0, 1895.0]>",blue,3,2,
James Sharpe,James Sharpe,"<[1830.0, 1895.0]>",blue,3,1,
Ralph Francis,Ralph Francis,"<[1830.0, 1895.0]>",blue,1,2,
J. P. Morris,J. P. Morris,"<[1830.0, 1895.0]>",blue,3,1,
R. H. Johnson,R. H. Johnson,"<[1830.0, 1895.0]>",blue,3,2,
Wm. Sanders,Wm. Sanders,"<[1830.0, 1895.0]>",blue,3,1,
David Wycoff,David Wycoff,"<[1830.0, 1895.0]>",blue,3,1,
Harrison Powell,Harrison Powell,"<[1830.0, 1895.0]>",blue,3,1,
James P. Jackson,James P. Jackson,"<[1830.0, 1895.0]>",blue,3,1,
John Granbia,John Granbia,"<[1830.0, 1895.0]>",blue,3,1,
Phelps,Phelps,"<[1830.0, 1895.0]>",blue,3,3,
Albert Outley,Albert Outley,"<[1830.0, 1895.0]>",blue,3,1,
Sampson Talbot,Sampson Talbot,"<[1830.0, 1895.0]>",blue,3,1,
K. B. Dunlap,K. B. Dunlap,"<[1830.0, 1895.0]>",blue,3,1,
J. F. Platt,J. F. Platt,"<[1830.0, 1895.0]>",blue,10,2,
Penn Yan,Penn Yan,"<[1830.0, 1895.0]>",blue,3,1,
Uriah Lett,Uriah Lett,"<[1830.0, 1895.0]>",blue,3,1,
George Weir,George Weir,"<[1830.0, 1895.0]>",blue,12,4,
S. H. Davis,S. H. Davis,"<[1830.0, 1895.0]>",blue,3,1,
Jermin W. Loguen,Jermin W. Loguen,"<[1830.0, 1895.0]>",blue,3,1,
J. H. Malvin,J. H. Malvin,"<[1830.0, 1895.0]>",blue,3,1,
H. Robinson,H. Robinson,"<[1830.0, 1895.0]>",blue,17,2,
David Jenkins,David Jenkins,"<[1830.0, 1895.0]>",blue,17,7,
J. M. Cordozer,J. M. Cordozer,"<[1830.0, 1895.0]>",blue,3,1,
A. M. Sumner,A. M. Sumner,"<[1830.0, 1895.0]>",blue,12,3,
W. H. Yancy,W. H. Yancy,"<[1830.0, 1895.0]>",blue,3,1,
Wm. Watson,Wm. Watson,"<[1830.0, 1895.0]>",blue,3,1,
R. Banks,R. Banks,"<[1830.0, 1895.0]>",blue,3,2,
W. C. Munro,W. C. Munro,"<[1830.0, 1895.0]>",blue,3,1,
G. W. Tucker,G. W. Tucker,"<[1830.0, 1895.0]>",blue,17,2,
Nimrod W. Jones,Nimrod W. Jones,"<[1830.0, 1895.0]>",blue,3,1,
Luke Dod,Luke Dod,"<[1830.0, 1895.0]>",blue,3,1,
Thomas Pollock,Thomas Pollock,"<[1830.0, 1895.0]>",blue,3,1,
Joseph Roxbury,Joseph Roxbury,"<[1830.0, 1895.0]>",blue,3,1,
H.H. Garnit,H.H. Garnit,"<[1830.0, 1895.0]>",blue,3,1,
R.H. Johnson,R.H. Johnson,"<[1830.0, 1895.0]>",blue,3,1,
W.C. Munro,W.C. Munro,"<[1830.0, 1895.0]>",blue,3,1,
E.B. Dunlap,E.B. Dunlap,"<[1830.0, 1895.0]>",blue,3,1,
J. Sharpe,J. Sharpe,"<[1830.0, 1895.0]>",blue,3,1,
Wright,Wright,"<[1830.0, 1895.0]>",blue,15,4,
N.W.,N.W.,"<[1830.0, 1895.0]>",blue,3,1,
S.H. Davis,S.H. Davis,"<[1830.0, 1895.0]>",blue,3,1,
J. H. Platt,J. H. Platt,"<[1830.0, 1895.0]>",blue,3,1,
J. Jeffrey,J. Jeffrey,"<[1830.0, 1895.0]>",blue,3,1,
J. N. Gloucester,J. N. Gloucester,"<[1830.0, 1895.0]>",blue,12,2,
S. Talbot,S. Talbot,"<[1830.0, 1895.0]>",blue,3,1,
Charles Lennox Remond,Charles Lennox Remond,"<[1830.0, 1895.0]>",blue,3,1,
W. P. Mcintire,W. P. Mcintire,"<[1830.0, 1895.0]>",blue,3,1,
B.S. Anderson,B.S. Anderson,"<[1830.0, 1895.0]>",blue,3,1,
J. Fountain,J. Fountain,"<[1830.0, 1895.0]>",blue,3,1,
W. Sanders,W. Sanders,"<[1830.0, 1895.0]>",blue,3,1,
A. Outley,A. Outley,"<[1830.0, 1895.0]>",blue,3,1,
E. B. Dunlap,E. B. Dunlap,"<[1830.0, 1895.0]>",blue,3,1,
U. Lett,U. Lett,"<[1830.0, 1895.0]>",blue,3,1,
J. W. Loguen,J. W. Loguen,"<[1830.0, 1895.0]>",blue,21,8,
J. Wandall,J. Wandall,"<[1830.0, 1895.0]>",blue,3,1,
G. Weir,G. Weir,"<[1830.0, 1895.0]>",blue,8,2,
J. Malvin,J. Malvin,"<[1830.0, 1895.0]>",blue,17,3,
D. Jenkins,D. Jenkins,"<[1830.0, 1895.0]>",blue,17,6,
N. Polk,N. Polk,"<[1830.0, 1895.0]>",blue,3,1,
H. Powell,H. Powell,"<[1830.0, 1895.0]>",blue,3,1,
J. P. Jackson,J. P. Jackson,"<[1830.0, 1895.0]>",blue,3,1,
J. Granbia,J. Granbia,"<[1830.0, 1895.0]>",blue,3,1,
R. Robertson,R. Robertson,"<[1830.0, 1895.0]>",blue,3,1,
A. M. Summer,A. M. Summer,"<[1830.0, 1895.0]>",blue,3,1,
W. Watson,W. Watson,"<[1830.0, 1895.0]>",blue,3,1,
Garnit,Garnit,"<[1830.0, 1895.0]>",blue,3,1,
Nat Turner,Nat Turner,"<[1830.0, 1895.0]>",blue,3,1,
Mcintosh,Mcintosh,"<[1830.0, 1895.0]>",blue,3,1,
Madison Washington,Madison Washington,"<[1830.0, 1895.0]>",blue,3,1,
Wm. C. Munro,Wm. C. Munro,"<[1830.0, 1895.0]>",blue,3,1,
Sharpe,Sharpe,"<[1830.0, 1895.0]>",blue,3,1,
H. H. Garnis,H. H. Garnis,"<[1830.0, 1895.0]>",blue,3,1,
S. N. Davis,S. N. Davis,"<[1830.0, 1895.0]>",blue,3,1,
T. T. Tatum,T. T. Tatum,"<[1830.0, 1895.0]>",blue,3,1,
Dod,Dod,"<[1830.0, 1895.0]>",blue,3,1,
W.W. Brown,W.W. Brown,"<[1830.0, 1895.0]>",blue,11,4,
L. Remond,L. Remond,"<[1830.0, 1895.0]>",blue,11,3,
P. Harris,P. Harris,"<[1830.0, 1895.0]>",blue,8,3,
O. D. Jenkins,O. D. Jenkins,"<[1830.0, 1895.0]>",blue,3,1,
C. Munro,C. Munro,"<[1830.0, 1895.0]>",blue,3,1,
Munro,Munro,"<[1830.0, 1895.0]>",blue,3,1,
Sumner,Sumner,"<[1830.0, 1895.0]>",blue,25,12,
Malvin,Malvin,"<[1830.0, 1895.0]>",blue,17,2,
Watson,Watson,"<[1830.0, 1895.0]>",blue,17,5,
Outley,Outley,"<[1830.0, 1895.0]>",blue,3,1,
Garmit,Garmit,"<[1830.0, 1895.0]>",blue,3,1,
W. P. Mclntire,W. P. Mclntire,"<[1830.0, 1895.0]>",blue,3,1,
John Wandall,John Wandall,"<[1830.0, 1895.0]>",blue,3,1,
W. C. Munto,W. C. Munto,"<[1830.0, 1895.0]>",blue,3,1,
W. Brown,W. Brown,"<[1830.0, 1895.0]>",blue,3,1,
H. G. Piere,H. G. Piere,"<[1830.0, 1895.0]>",blue,3,1,
J. T. Hilton,J. T. Hilton,"<[1830.0, 1895.0]>",blue,3,1,
C. Nell,C. Nell,"<[1830.0, 1895.0]>",blue,3,3,
J. E. Crawford,J. E. Crawford,"<[1830.0, 1895.0]>",blue,3,1,
A. Nigers,A. Nigers,"<[1830.0, 1895.0]>",blue,3,1,
J B. Vashon,J B. Vashon,"<[1830.0, 1895.0]>",blue,3,1,
A. Duncan,A. Duncan,"<[1830.0, 1895.0]>",blue,3,1,
J. G. M. Britton,J. G. M. Britton,"<[1830.0, 1895.0]>",blue,3,1,
M. Robinson,M. Robinson,"<[1830.0, 1895.0]>",blue,3,1,
Alton,Alton,"<[1830.0, 1895.0]>",blue,10,3,
Banks,Banks,"<[1830.0, 1895.0]>",blue,3,1,
Beman,Beman,"<[1830.0, 1895.0]>",blue,15,6,
J. Roxburg,J. Roxburg,"<[1830.0, 1895.0]>",blue,3,1,
T. Pollock,T. Pollock,"<[1830.0, 1895.0]>",blue,3,1,
James H. Gloucester,James H. Gloucester,"<[1830.0, 1895.0]>",blue,3,1,
J. W C. Pennington,J. W C. Pennington,"<[1830.0, 1895.0]>",blue,3,1,
N. Y. ; S. E. Cornish,N. Y. ; S. E. Cornish,"<[1830.0, 1895.0]>",blue,3,1,
N. J,N. J,"<[1830.0, 1895.0]>",blue,3,1,
W. P. Mcintosh,W. P. Mcintosh,"<[1830.0, 1895.0]>",blue,3,1,
James H. Fountain,James H. Fountain,"<[1830.0, 1895.0]>",blue,3,1,
Shelby,Shelby,"<[1830.0, 1895.0]>",blue,17,3,
Warren,Warren,"<[1830.0, 1895.0]>",blue,25,7,
N. Y,N. Y,"<[1830.0, 1895.0]>",blue,3,1,
Ezra R. Johnson,Ezra R. Johnson,"<[1830.0, 1895.0]>",blue,3,1,
N. Gloucester,N. Gloucester,"<[1830.0, 1895.0]>",blue,3,1,
A. H. Yancy,A. H. Yancy,"<[1830.0, 1895.0]>",blue,3,1,
1844.NY-09.18.SCHE-Minutes.txt,1844.NY-09.18.SCHE-Minutes.txt,"<[1844.0, 1844.0]>",red,1,142,1844
Wm. P Mcintyre C.S. Morton,Wm. P Mcintyre C.S. Morton,"<[1830.0, 1895.0]>",blue,1,1,
J. Wandell,J. Wandell,"<[1830.0, 1895.0]>",blue,1,1,
H.H. Garnett,H.H. Garnett,"<[1830.0, 1895.0]>",blue,23,3,
Ulyssis R Videl,Ulyssis R Videl,"<[1830.0, 1895.0]>",blue,1,1,
James Hall,James Hall,"<[1830.0, 1895.0]>",blue,12,2,
John Wandell,John Wandell,"<[1830.0, 1895.0]>",blue,1,1,
Peter Hornbeck,Peter Hornbeck,"<[1830.0, 1895.0]>",blue,16,2,
George W. Gordon,George W. Gordon,"<[1830.0, 1895.0]>",blue,1,2,
James Mccune Smith,James Mccune Smith,"<[1830.0, 1895.0]>",blue,11,4,
Ulyssis B. Videl,Ulyssis B. Videl,"<[1830.0, 1895.0]>",blue,1,1,
James H. Henderson,James H. Henderson,"<[1830.0, 1895.0]>",blue,1,2,
William P. Powell,William P. Powell,"<[1830.0, 1895.0]>",blue,3,2,
George B. Moreton,George B. Moreton,"<[1830.0, 1895.0]>",blue,1,1,
U. B. Videl,U. B. Videl,"<[1830.0, 1895.0]>",blue,1,1,
Videl,Videl,"<[1830.0, 1895.0]>",blue,1,1,
Powell,Powell,"<[1830.0, 1895.0]>",blue,1,1,
William P. Johnson,William P. Johnson,"<[1830.0, 1895.0]>",blue,3,2,
York La Ture,York La Ture,"<[1830.0, 1895.0]>",blue,1,1,
Clarence P. Selden,Clarence P. Selden,"<[1830.0, 1895.0]>",blue,1,1,
Samuel Lawyer,Samuel Lawyer,"<[1830.0, 1895.0]>",blue,1,1,
Lewis Washington,Lewis Washington,"<[1830.0, 1895.0]>",blue,1,1,
Thomas Addison,Thomas Addison,"<[1830.0, 1895.0]>",blue,1,1,
Henry March,Henry March,"<[1830.0, 1895.0]>",blue,1,1,
William Beggett,William Beggett,"<[1830.0, 1895.0]>",blue,1,1,
Abram Stanley,Abram Stanley,"<[1830.0, 1895.0]>",blue,1,1,
Henry · H. Garnet,Henry · H. Garnet,"<[1830.0, 1895.0]>",blue,1,1,
Richard Livingston,Richard Livingston,"<[1830.0, 1895.0]>",blue,1,1,
L. D. Beckett,L. D. Beckett,"<[1830.0, 1895.0]>",blue,1,1,
John Carasaw,John Carasaw,"<[1830.0, 1895.0]>",blue,1,1,
J. W. Randolph,J. W. Randolph,"<[1830.0, 1895.0]>",blue,15,2,
H. Smothers,H. Smothers,"<[1830.0, 1895.0]>",blue,1,1,
Cato Jackson,Cato Jackson,"<[1830.0, 1895.0]>",blue,1,1,
Austin White,Austin White,"<[1830.0, 1895.0]>",blue,1,1,
Augustus Howard,Augustus Howard,"<[1830.0, 1895.0]>",blue,1,1,
John Landon,John Landon,"<[1830.0, 1895.0]>",blue,1,1,
George Mott,George Mott,"<[1830.0, 1895.0]>",blue,1,1,
Thomas Thompson,Thomas Thompson,"<[1830.0, 1895.0]>",blue,1,1,
R. Munay,R. Munay,"<[1830.0, 1895.0]>",blue,1,1,
Tobias Harklis,Tobias Harklis,"<[1830.0, 1895.0]>",blue,1,1,
Thomas Jackson,Thomas Jackson,"<[1830.0, 1895.0]>",blue,1,1,
John Jackson,John Jackson,"<[1830.0, 1895.0]>",blue,17,3,
James Jackson,James Jackson,"<[1830.0, 1895.0]>",blue,1,1,
Moses Wilcox,Moses Wilcox,"<[1830.0, 1895.0]>",blue,1,1,
Peter Johnson,Peter Johnson,"<[1830.0, 1895.0]>",blue,1,1,
Peter Wandell,Peter Wandell,"<[1830.0, 1895.0]>",blue,1,1,
Albert Brown,Albert Brown,"<[1830.0, 1895.0]>",blue,1,1,
Peter Ofdyke,Peter Ofdyke,"<[1830.0, 1895.0]>",blue,1,1,
John T. Simpson,John T. Simpson,"<[1830.0, 1895.0]>",blue,1,1,
John Dunbar,John Dunbar,"<[1830.0, 1895.0]>",blue,1,1,
Garret Harris,Garret Harris,"<[1830.0, 1895.0]>",blue,1,1,
Henry Harris,Henry Harris,"<[1830.0, 1895.0]>",blue,1,1,
N. Caesar,N. Caesar,"<[1830.0, 1895.0]>",blue,1,1,
N. Hardy,N. Hardy,"<[1830.0, 1895.0]>",blue,1,1,
Thomas Gray,Thomas Gray,"<[1830.0, 1895.0]>",blue,1,1,
F. Lattin,F. Lattin,"<[1830.0, 1895.0]>",blue,1,1,
Henry L. Simpson,Henry L. Simpson,"<[1830.0, 1895.0]>",blue,1,1,
H. M. I. Rogers,H. M. I. Rogers,"<[1830.0, 1895.0]>",blue,1,1,
