label,x_val,y_val
William Pettingill,-2.63714,-58.0581
H. Lewis,4.5128,-80.421
Realf,10.9177,38.379
Milliken,-19.6597,-44.8462
Baker,-30.4207,18.6219
Lovejoy,47.1327,-39.9314
Willet,37.3379,13.1552
J.H. Richardson,31.5629,-1.46976
E. Waters,47.8891,27.4052
H. Burrus,35.2023,-22.0854
John S. Rock,-24.2228,15.4389
Peter Hubbard,-5.32953,53.0956
J.B. Hamer,31.8052,-1.33766
Andy Johnson,46.9917,1.37241
Basil Campbell,27.7283,48.9763
James Baker,-8.22625,-15.4908
B. Jenifer,-16.6018,-62.9645
J. B. Raynor,18.865,17.2988
U. Boston,-40.5292,-22.202
Murray Wells,0.467112,-52.4144
1868.MD-08.05.BALT.txt,-19.356,-45.0304
Primus Robinson,-40.007,-12.9805
Rufus Conrad,-0.909837,-56.2884
Wm. Hope,25.6162,-59.4381
W. D. Donells,19.7361,20.0163
#NAME?,-8.09781,11.7498
Peter Wandell,-57.3055,-20.2769
Robert Barks,-56.9971,0.495274
R. P. G. Wright,-50.2489,-20.4431
Fisk,-7.60606,-59.7731
James Cefous,27.5532,47.1267
Thal,-45.3377,-29.987
Salem,16.9674,68.8627
S. Myres,3.99471,1.13044
Jno,-37.1793,32.4681
J. R. Shonon,19.8148,16.9292
Tobias Harklis,-58.2378,-19.0386
J. Bonner,-29.3034,14.0667
F. Piere,-24.541,-18.1571
J.H. Burrus,36.3153,-23.1588
Vashon,-14.7549,39.155
D. Wadkins,46.3991,-22.0318
Aaron I. Still,-1.30222,25.0996
John Jackson,27.3202,-52.608
A. M.,-4.74065,52.7539
James Parkman,-45.6858,-31.3742
John Caunel,11.0749,38.4938
Jesse Bolden,-18.6253,28.9748
R. H. Hall,50.9276,31.2201
Edward Coke,25.8572,-61.0917
1854.CT-09.27.MIDD.txt,-59.0038,26.3746
J. J. Simonds,-38.2146,4.23828
Daniel O ' Connell,39.8533,-18.2866
John Montgomery,6.53411,-63.0019
Moses Jackson,-55.6717,0.616765
N. Hill,4.49981,-0.16686
Bertram Wyatt-Brown,11.9191,-12.9042
Henry Mckinney,-9.9587,9.10413
Flowers,54.4511,29.1903
Alex Clark,-2.25415,-70.1206
J. P. Underwood,29.1482,-45.8962
David Ruggles,-0.325921,54.7671
Sergt,-6.91229,-46.0697
L. Platt,-44.0199,-30.4547
J. W. Robertson,17.6101,15.1945
George Gordon,54.0294,28.4169
Edmund Burns,37.1046,13.0749
V. Morgan,-0.557459,-59.4317
James Monroe,-37.106,-8.13858
Frank Boumes,36.8819,14.3228
Calvin Anderson,45.6906,-19.7323
R.A. Griffin,-37.9547,4.24203
A. Z. Wheeler,17.1253,13.5431
C. H. Bustill,-27.0202,14.9231
M. Cary Of Cook,18.6885,-5.41481
J. Mc,-57.9178,1.20608
E.D. Bassett,-25.609,-43.5297
Creuzot,38.5947,-22.5039
D. S. Ballard,16.7768,17.7405
Duffins,-9.02885,-30.6333
L. D. Beckett,-57.7234,-19.9456
J T Fisher,-6.9923,-13.5173
Amos W. Green,-7.3008,-47.1301
J. R. Rowland,44.5567,-19.0439
Abraham Price,66.3206,0.727131
Eben,3.42243,0.435908
Joseph Newit,-38.1573,3.93795
Cox,-42.7636,-7.03379
F. Henry,55.1053,30.1801
H. Brown,11.1073,-13.6348
Matthews,32.1411,-2.07948
Patrick Henry,133.537,-31.8127
Robert Brown,-12.4346,61.9651
Jacob White,-9.21894,49.0093
Edward Hill,46.9402,1.7344
William H. Yates,32.3282,34.3787
J. Sella Martin,-22.9593,-40.4947
Stowe,8.24337,-13.9354
C. B. Ray,-35.5108,-20.7271
Jonathan,41.9838,-18.5589
Sterling Heathcock,25.8355,-59.7171
Pauline Green,16.7565,20.9299
Robert Allen,-25.4646,-22.0511
Henry H Garnet,-57.9403,2.40334
Messrs,-58.6867,-19.0007
Hiner,-23.1645,57.7486
Cutler,-36.4997,-7.58652
F. L. Kealan,12.7557,17.1827
H.P. Harris,-23.5642,-38.4708
Shelby,25.1087,-63.393
R. J. Moor,-8.57954,-63.8683
William Wilberforce,-20.2178,-0.867718
Wm. Whipper,-11.5149,60.4176
W.H. Brown,-23.8246,-40.824
John E. Cook,10.799,39.468
Joshua Woodland,-30.3517,24.2759
Benford,35.1584,-53.8952
J.P. Shooks,13.1294,-27.7868
Armstead Pollock,49.9546,27.2218
Passmore Williamson,-34.4502,9.18104
Samuel Snowden,-12.0863,64.6894
W. C. Hodge,43.1504,-21.3192
George Richardson,-0.111683,56.2734
S. D. Dunkin,3.96391,-80.2235
W. H. Bruce,-24.0626,-41.4142
Amos C. Beman,-58.4795,22.1134
W.G. Robinson,-7.91402,-55.0134
William James,-4.44447,69.8026
1868.IA-02.12.DESM.txt,6.0168,-80.1707
Wm. C. Monroe,45.9904,-38.2521
L. H. Reynolds,18.8651,17.8699
Pindar,46.7816,-38.1141
W.H. Harper,54.2254,27.168
L.,-30.3611,14.5262
John P. Sampson,-21.5717,-40.2542
Peter H. Williams,-23.6621,-40.3895
1830.PA-09.24.PHIL.txt,-8.2206,65.2261
Olney,-8.31357,48.8169
Howard Million,35.6637,11.8571
Arthur Tappan,-7.24318,62.9267
C. S. Hodges,-29.1795,12.8924
R. R. Gurley,-22.4383,56.8973
Peter Salem,-19.6266,-2.68864
R. A. Codwell,19.5651,19.2805
C. L. Remond,-19.063,29.7289
Messrs. Purvis,1.02457,58.6773
C. A. Gibson,51.4537,28.1219
Nathan Duffin,47.4359,1.5291
Thomas H. Thomas,-25.296,-42.7608
Morrell,-30.0615,15.0823
Martin Cross,-37.8316,-8.71872
John Granbia,-24.7367,-19.179
John Lee,-15.7389,35.3227
T. Lloyd,-29.0325,17.11
Duffin,-14.3248,-55.0877
H. D. King,18.5577,-5.67667
Wm. C. Munroe,-8.82236,13.5928
Cowley,-9.03834,62.6398
N. Y,-24.5987,-19.4512
Francis Jackson,-16.7216,-77.0257
H. H. Gasson,19.3156,16.8784
M. Robinson,-23.1844,-16.9418
Johnsen,64.9944,2.72651
J. J. Scott,-28.9325,14.9193
Burrus,42.6546,-20.904
Stokes,30.9907,34.2495
James Presser,-30.4508,16.3252
Phebe Hathaway,-17.6244,-77.2673
Malary Brooks,64.6798,-0.511678
Paine,-15.8799,32.3547
N.B. Baker,-2.22467,-70.1136
Pompey,18.2023,-5.39457
Thomas Detter,36.3567,39.3141
F. Julius Lemoyne,-16.8379,-77.5592
A. W. Carter,4.23075,-80.75
Francis Thompson,-52.0257,-16.7968
Robert Vosburgh,5.98305,-50.3352
T. H. Green,39.2415,-20.2679
Wyman,-16.6266,-63.113
C. Lenox Remond,1.42813,-37.3832
Henry Grey,-7.17222,-14.0587
S. E. Hardy,44.8797,-16.2902
Charles L. Reason,-42.1759,-20.6087
John Anderson,47.4932,1.35944
John H. Johnson,44.1302,-20.7197
James G. Wilson,-7.22277,-47.1328
W. H. Topp,-42.8644,-6.93295
Dickson,-18.4753,33.2043
Abner H. Francis,-32.6289,-20.7129
Henderson,-59.4251,2.53645
Abner Coker,-12.6298,67.4984
Wm. Phillips,64.9471,3.04713
Wm. C. Munro,-23.897,-18.3056
Edward M. Thomas,-30.6886,15.651
H.O. Wagoner,18.6914,-5.29742
Morel,-18.9774,63.3971
Cor,-5.74899,59.385
James H. Gloucester,-23.5774,-18.8864
James William Charles Pennington,-9.06944,-30.5928
Wh Topp,-7.00617,-13.2503
D. Abner,15.6475,14.7166
James W. Purnell,10.0971,38.5465
Wilkerson,19.0226,-5.31662
H. Harper,49.6618,28.6203
James Mccune Smith,-58.48,-13.7919
J. Lisle,-7.24582,-13.9609
Paul Drayton,-22.378,55.7421
J. J. Williamson,34.6711,-54.0832
Joshua Brown,-10.077,53.079
Tappan,-13.8085,68.1742
Jesus Christ,-16.9174,-61.4265
C. Whipple,11.1686,38.6431
Henry Wilson,66.841,3.05958
Touissant L'Overture,5.98413,-50.3359
Ex-Congressman Rainey,44.694,-19.5206
Ku-Klux,36.0283,12.2142
Alexander Bass,13.1982,-27.8557
A. Strauder,28.7935,-45.988
Blackmon Williamson,67.0589,2.51738
John Wilson,-32.8799,35.7305
Williams,-17.7118,-63.5375
A. Nigers,-22.5679,-17.3433
P. M.,-8.10023,61.0794
D. Brown,50.9121,26.2248
Hyers,-56.3115,1.1849
W. H. Butler,10.6963,-13.1411
P. F. Adams,1.06768,-37.3564
T. Stroteer,68.3023,2.16441
Lycurgus,46.4952,-38.8591
J. D. Payne,15.6475,16.7526
H. H. Garnit,-26.1494,-18.5742
Isaiah P. Gibbs,52.1042,29.2159
Nathan Furbert,50.5574,30.5572
Stewart Taylor,11.0089,39.5282
Wm. H. Davis,-16.6061,32.4845
J. H. Walker,45.1199,-18.1632
Kraals,-8.05961,9.62801
N. Hardy,-58.2234,-18.1914
J Lyles,-5.58357,-14.6966
John B. Smith,-23.8725,-39.6874
Morrill,-10.3529,11.0379
Henry M. Wilson,-11.8722,10.9651
F. R. Carter,51.72,31.3209
J.W. Brooks,47.3577,-38.2381
John G. Stewart,-5.35883,53.1024
C. H. Wilson,55.6022,28.7113
Ichabod Northrop,-21.9773,56.7022
G. Benson,3.84231,-79.4026
J. Q. Starkey,32.8785,33.097
L.C. Beman,-56.9555,26.1029
J. M. Oliver,26.9748,48.4944
Peter Freeman,-25.1912,-39.0533
J. H. Delamotte,42.4216,-23.3374
Hubbard,20.6415,50.9915
Samuel J. Hollinsworth,-20.9462,-42.9443
Hiram Dalton,-42.3612,-32.6048
Ralph Puiet,64.0451,4.29159
J. H. Buftord,43.6498,-18.6175
H. H.,-57.7681,-18.2546
H. Cooper,17.9155,69.1453
H. A. Thompson,-55.1785,23.5845
A. G. Beman,-55.6988,19.6164
F. Davis,-34.8641,36.032
James Millington,-57.2276,0.84529
1843.NY-08.15.BUFF.txt,-21.9174,-17.205
James Buchanan,18.3156,-52.355
George A Rue,12.6283,-27.671
Wm Meads,-56.2317,3.31755
George B. Vachon,-57.1193,4.03917
W. H. Thomas,50.1203,30.9797
G.B. White,-1.61904,26.8597
Robert Penn,17.3939,69.3368
Abraham Brown,-9.28949,48.5957
William Robinson,12.0183,-14.2407
James Mccrummel,-16.7714,31.616
John Franks,16.2466,17.7981
J. A. Sailor,64.8689,2.76603
Mcclellan,-25.088,-39.1094
H. F. Smithl,52.9703,27.4856
Blyden,38.4016,-18.7513
Robert Hall,16.8949,21.4796
D. Lewis,39.807,36.4412
J. Taylor,27.8776,-44.7855
Rue,12.9442,-27.6211
Rogers,28.3573,50.6362
Green Prince,13.5192,17.4915
D. D. Turner,-23.7077,-42.1679
Samuel Williamson,47.537,2.43257
D. Coburn,-33.676,35.6161
Hallowell,1.99524,1.78268
A. G. B,-7.65779,-59.9051
Henrv Slpkins,-21.776,56.4967
James L. Sherman,-7.2861,-47.1165
G. H. Shaffer,39.0684,-20.1953
J. F. C. Snarden,41.48,-19.5397
David Paul Brown,12.3806,-13.9956
J. Tucker,-0.534841,-59.4287
Vosburgh,52.7847,26.9835
W. C. Marshall,5.98327,-50.3345
Lewis Tappan,11.9112,-12.7692
Samuel C. Johnson,0.667718,26.8568
Marylond,-32.8645,36.9924
W. Hardy,46.8604,-38.6749
T. Downing,-25.6243,10.2559
Leo Xiii,41.0888,-14.1964
Solana,25.5689,48.6409
N. Y. City,-23.4425,-17.8122
D. Trent,27.8003,-46.5413
1865.NC-09.29.RALE.01.txt,4.10227,-67.3796
Edward V. Clark,-31.9471,6.44266
J. Watson,29.3168,-49.8052
S.J. Murray,-24.0512,-42.2507
J.W. Adams,-30.9713,36.4997
J. F. Markley,-17.076,32.5062
P.G. Smith,-56.0059,-1.37378
Robert H. Small,24.7199,48.387
W. H. Carter,2.402,-54.8794
George Baker,-42.724,-31.4414
T. H. Johnson,26.9636,-44.6667
J. W. Early,66.8227,2.54457
J. Howard,51.5962,26.2936
Joseph Lusher,66.6852,0.842138
John Wolf,-16.8094,34.4633
R. Johnson,-58.557,-13.4105
Jermanus Loguen,-43.4883,-31.5877
Aaron Still,-28.0039,15.2868
J. H. Perkins,25.1416,-59.9635
J. Billings,-56.9676,1.40976
Blind,26.3096,-60.6847
J. Underdue,31.6028,-1.43294
Adrian,-22.713,-40.4821
William Howard Day,-19.7896,-44.7984
M. R. Delany,-20.679,35.0216
William H.Topp,-54.61,0.303873
George L. Brown,-4.25794,69.9546
Garrison,-9.88423,62.8309
Hamilton Gray,-31.9517,35.8136
Samuel Van Brackle,-27.7347,37.1433
J. W. Creed,1.62201,57.6075
Jehiel C. Beeman,-9.72631,10.1925
Louisa Burnett,-16.1653,-77.9005
Underdue,31.0385,-2.13402
Anderson Flinn,35.2644,-54.1852
J. W. Divine,27.5879,-45.4035
Edward Murray,47.4728,2.26063
J.S. Graham,-1.91143,26.3781
H. H. Price,-16.0544,31.9065
T. Harley,-43.9646,-28.9149
William H. Harris,-6.27989,-13.7367
Robert M. Smith,-34.4659,35.6275
Edmund Kelly,-30.3108,15.109
Daniel Colly,-28.1657,14.2193
Somersett,-17.9118,35.222
W. H. Yates,25.2449,49.3358
Chauncy Van Hussen,-37.8429,4.15272
J. Mccune Smith,-58.4823,-13.7018
P. B. Randolph,-24.754,-46.5207
W. J. Smith,17.5251,14.738
B. Anderson,-34.6002,37.0303
Hinton Coles,35.0475,-54.4986
Albert Williams,14.8215,18.8851
S. H. Davis,-23.5929,-17.2706
S. Hunton,10.01,38.3705
Charles Pinckney,-10.8137,10.4963
William Hough,54.5145,30.549
Joe,68.4365,2.88019
John Gray,-15.6871,34.675
B. White,0.344002,-57.7307
J.D. Richards,-25.9905,-40.7134
Alex. Bass,11.9884,-26.8198
Jonathan Graham,-15.4102,32.8848
E.S.,12.8072,-28.1028
W. J. Bird,52.9677,26.9304
G.W. Bryant,-23.3256,-42.1433
George Lansen,-44.2261,-31.0044
J. H. Williams,35.0616,-54.3777
T. Woodson,-25.0189,-17.2918
John E. Burr,-8.74285,12.2922
J. B. Hamilton,18.5078,70.1026
Jacob,-31.6782,31.3947
J. P. Howard,19.1588,16.9798
Rhuben Rhuben,1.314,57.5955
F. Lacy,-6.87643,-13.8006
Henry Lee,-24.5447,-44.1283
John Berry,47.1457,2.07006
A.J. Morrison,-56.1562,23.5303
John T. Simpson,-57.8807,-18.8523
Queen Victoria,24.4266,-60.7199
S. H. Wheats,19.6938,18.9443
Sampson,-14.1111,-39.2662
Peter Burtou,-29.5404,15.03
Saml Smith,-55.9097,1.19923
W. H. Nichol,43.9889,-21.4011
M.R. Delaney,-7.3522,-14.3191
J. Mercer Langston,28.1113,-50.4939
G. Brackston,-5.37359,-14.7726
Abraham,-23.8311,57.2137
Uncle Tom,-20.2447,-2.55492
Andrew Collins,53.6778,29.9266
R. B. Leech,18.2096,-52.8834
George L. Ruffin,-23.5372,-37.2688
Randall Brown,38.6765,-15.556
Jared Gray,-10.078,49.3221
Lewis Jackson,-41.1078,3.35266
Thos,0.5831,28.6536
Anna,42.3719,-23.9699
Morse,-8.12212,-32.1434
Bela C. Perry,-20.1286,-2.19278
P. C. Murphy,44.5433,-15.9544
J. S. Jones,20.377,15.2212
J. H. Burrus,41.389,-19.5901
William Brown,-0.78641,57.1274
J. Morgan,-45.0982,-33.5423
Jocelyn,-12.0822,64.688
H.C. Thompson,-0.470656,57.7147
F. Robertson,17.9026,15.651
I. P. Gibbs,31.5025,46.6234
W. H. Fuller,18.2483,-52.7377
H. Robinson,-26.3578,-16.2049
E. George,-58.4853,-19.2825
Aaron Jennings,65.8591,2.68777
J. B. Vashon,-22.7048,50.6627
W. L. Smith,47.0919,2.01927
J. Booker,29.2696,-49.8253
Wm. D. Matthews,47.0042,1.90093
Newport F. Henry,36.4697,38.947
J. Purnell,27.283,-52.3397
Oliver Ellsworth,-55.8671,23.0586
S. Talbot,-24.3522,-18.5989
J. H. Wilson,-9.43595,11.3684
1832.PA-06.04.PHIL.txt,-11.2274,64.0715
Watson,23.8198,-43.3474
M. H. Delany,11.1657,38.8399
Nicholas Penn,-16.5274,-63.1159
George Valentine,40.0023,-16.1389
Abraham D. Shad,-7.54354,66.7959
Elliot,-21.5708,56.7587
James D. Tinsley,-5.70209,-15.449
J.W. Lewis,6.3886,-1.86671
Winthrop,4.22661,1.22544
T. Thomas,-11.3592,11.7399
Cain,-23.33,-41.1408
John Cook,0.682734,55.8342
Robert Garrison,3.29682,0.774446
W. A. Pledger,37.6804,-22.8441
J. H. Hendricks,40.3812,-24.5584
J. R. Caswell,11.7774,-26.6297
W. H. Burnham,25.0461,-47.8852
J. Peterson,-46.1702,-32.519
Louis T. Kenner,43.978,-23.3256
1867.DC-01.28.WASH.txt,-0.849388,-143.805
Abram W. Niles,3.51627,1.40732
Port Gibson,40.0015,-22.1105
J Lisle,-5.77894,-14.0289
J. Mcc Simpson,26.5184,-59.2596
Campbell,-7.22593,-13.8513
Kuklux,66.8751,1.52519
Alexander Lane,-8.56306,-63.8674
Charles O. Fisher,-16.567,-62.9106
E. J. Marsh,-31.1836,13.1991
Munroe,12.1701,38.8074
W. Duffin,-26.982,-17.8736
Kinney,-32.3133,14.9692
J. C. Hester,16.8282,18.6832
P. H. Collier,16.721,16.2322
Charles H. Langston,21.1007,-59.1935
Arnold Buffom,0.824118,56.1637
John Jones,13.8466,-7.52267
James Holland,-37.0171,34.6467
W. R. Morrow,18.5809,14.8205
Mclain,-8.74759,9.72484
Richard Copeland,17.5146,-39.7712
J. Houston,-22.7664,-38.0217
A. James,-58.2613,-17.4428
T. S. Wright,-28.933,-19.105
Samuel Morris,-24.0293,-41.2824
E. L. Platt,-17.1577,-76.8103
J. Moss,50.8074,30.6178
Gen Hartranft,-3.05292,-55.2471
John Dowers,-21.9585,57.2381
Dupee,37.5244,-24.0397
Chas,-17.0165,-65.2861
N. Freeman,2.45608,-0.614895
V. P. Pennington,-54.8618,0.697091
Downing,-8.53101,-44.0761
John Brock,-3.06298,-55.2381
John Peck,-8.15331,61.6155
W. Peters,-58.3431,24.3175
Solomon G. Brown,0.427299,-63.2077
Elder Jones,28.2094,-45.2688
Mariposa,31.5057,46.5558
S.M. Africanus,-56.968,23.1432
E. K. Knight,32.8209,33.3102
Stephen Dettin,10.5386,38.9869
J. P. Sampson,-25.2987,-40.6165
J. G. Britton,16.2916,-40.9115
Abram W Niles,3.10661,0.886186
Wesley Terry,64.1629,0.205758
Wm. Lewis,-12.1621,31.3804
Hamilton,14.2821,67.9205
P.N. Judah,-24.9282,-37.998
J. F. Lawrence,51.3944,28.9915
R. S. Stout,17.2469,18.0787
Buckalew,-3.04241,-55.2685
Bassett,-23.2071,-40.7708
J. Campbell,-28.6876,14.3989
White,32.1747,34.2703
George W. Francis Of Bridgepport,-56.9496,25.3635
Peter Ofdyke,-57.7586,-17.0756
Jordon Caselev,52.1469,29.3572
Seymour,-23.1915,-45.0277
Benjamin Anderson,-43.2964,-29.8803
Cornelius Campbell,-16.5328,-63.0084
J. Archer,18.7674,-52.6273
Milton,18.6023,-5.86428
H. Douglass King,18.6791,-5.20038
J. J. Moore,32.2758,43.9377
W. Wilson,44.0235,-17.5567
Waller,19.1984,16.7316
Siegel,47.0771,2.84187
John J. Zuille,-51.7319,-16.5322
R. Cheney,-6.12304,-13.3261
Wm. R. Lawton,41.84,-20.6244
Charles Gardner,-10.508,48.6916
F. G. Murray,-43.0995,-30.2144
1855.NY-01.20.ALBA.txt,-35.6003,-6.54823
George Barnes,-1.69848,28.0894
J. C. Kneeland,-53.9627,3.23343
Charles L. Robertson,-15.8643,33.861
Frederick Perry Stanton,-37.3753,-6.79495
W. M. Green,15.2959,18.6683
John Lawrence,11.0754,38.0631
John Morgan,2.4079,-54.8412
G. W. Jackson,15.1795,17.735
F. Thompson,-52.696,-20.5477
Douglas,34.8265,-54.36
Niles,-39.6312,-7.73109
1853.NY-07.06.ROCH.txt,-8.69805,13.8544
H.H. Molson,-4.0781,-56.9205
Peter H. Clarke,-9.47301,11.187
H. Greene,42.5077,-20.0673
Mansfield,-33.9429,-4.14048
Wm. Sumner,42.2007,-20.7079
John Averitt,36.705,-15.1092
Ebenezer Black,-29.7776,13.8304
Abram Jackson,-52.5412,-20.1699
C. A. Burgos,42.4736,-25.1389
Hatton,27.3927,51.247
Hanmer,66.0574,1.66562
Kongo,-9.15287,12.3159
L.P. Barton,-5.39233,-15.2791
J. Skipworth,4.17028,-80.8917
John Williams,-35.3064,39.4972
W. Gardner,-23.1928,55.5287
Elkins,-25.7823,-40.365
Guy Brinton,30.9098,-1.06552
S. Lowry,38.5327,-15.7357
Jerome Stebot,26.1444,-59.7995
Cumins,36.3197,12.6407
Berrian,-10.4151,47.9159
E. Ruby,2.45428,-0.817583
Quinn,52.4805,29.8413
Saunders,36.7414,13.544
J. N. Rendall,46.4229,-19.9895
J. T. Ward,29.2829,-57.3411
A. Williams,-37.2815,-7.08276
Jehovah,-1.39488,53.2743
Thomas J. Goode,18.3499,-52.4504
Wm. P. Morgan,26.1841,-60.8593
Hinton,-6.63899,61.667
Henry O'Connor,4.63663,-79.5725
Archer,-39.285,-21.251
Van Buren,17.7935,-39.8754
Robert B. King,17.4997,69.492
Edward Thomason,-17.5477,34.0613
J. W. Malone,4.39135,-80.8366
Alfred Mason,-2.17517,-70.014
Abraham Smith,-28.0633,-38.4709
T. H. Henderson,-56.4128,1.29277
V. P.,-22.1268,56.6204
John Tyler,26.8498,48.4565
Booker,28.2348,-45.2894
Thompson,-52.8355,24.9747
Jacob Madden,26.0627,47.8129
Murphy,35.8497,-19.5292
D. Forten,-0.778827,29.0493
B. Jones,2.46222,-0.440271
Abraham Murray,-32.6908,35.3708
L. W. Barker,18.6245,16.3392
Messrs. Hutchins,-9.13807,48.6408
W. A. Smith,27.3627,49.9979
B. Steward,-34.9071,35.9401
Donnell,17.1474,15.8994
J. W. Taylor,13.5747,16.3979
J. Harris,-41.3358,-29.6808
V. Nora Allen,15.6196,17.3589
Samuel Lowery,70.2156,0.664119
Isaiah,-34.4593,9.18122
Fred,-24.4147,-12.714
Philip Bell,-12.7677,67.6815
William Mathews,-4.08961,-52.699
P. Tolliver,-0.89893,-56.2877
Cyrus Black,-5.79576,67.5894
Thomas Charnock,-29.8968,14.4778
Joseph Adams,52.0355,32.144
P.B. Randolph,-24.7538,-46.5204
John B. Clarke,-56.761,24.2399
John Tribble,-57.7595,-19.3039
J. Winthrop,2.50261,1.10625
B. Croger,-42.8114,-31.1847
George B. Moreton,-58.2327,-18.8463
Thomas Addison,-56.77,-17.4137
Samuel Molston,-15.5666,34.5224
L. Hayden,-53.9001,0.0245206
Remington,1.19576,-37.4905
C. A. Bourgeois,40.1347,-13.9569
A. Duncan,-25.669,-17.6153
Rusk,18.7025,19.1879
T. Harris,-42.118,-30.7754
George W. Mcintosh,17.4394,19.5076
John Q. Adams,-0.49492,-59.4293
F. Johnson,-36.8463,-6.42623
Thomas Haines,24.8461,-59.0255
Lewis Nelson,-38.4892,4.19751
Jason Jeffrey,-25.5145,-18.3689
Glen,5.9846,-50.3358
Charles Howard,-1.67246,27.6669
Jonathan Betts,-0.934409,27.0548
Durkee,11.3071,-14.805
J. W. Grant,41.2584,-14.832
Peter Coraway,65.6593,1.86905
C.S. Morton,-39.3265,-21.3158
Montgomery,27.3385,-16.1544
Nimrod W. Jones,-24.3948,-18.9834
A Crummell,-35.5775,36.5492
Robert Purvis,-11.4365,60.2036
Richard A. Hall,26.831,47.6153
G. M. Willis,-9.43711,11.714
1879.TX-07.02.HOUS.txt,4.73131,2.69683
Gardiner,-18.4881,34.138
Barnes,18.2891,-6.03698
Charles Shim,-42.7428,-28.9718
George Williams,47.4089,1.96203
R. J. Cowes,-57.6388,23.6265
George C. Brown,-43.9068,-29.9331
J. W. Randolph,-56.8894,-16.3687
Peter Vandeveer,-37.476,-7.90265
Yolo,24.653,48.1377
Darius P. Stokes,32.8263,33.6438
Peter Mcneal,-4.56368,69.6967
Scoble,-7.00007,-13.6032
Christopher Rush,-56.7979,-1.24565
M. W. Gibbs,35.8247,39.3754
Emett J. Scott,18.8925,17.8145
H. Wilson,-7.76274,-14.3117
Sanderson,37.4159,39.3194
Draven,13.2324,-27.9648
Jones Willson,-31.4956,37.1722
Wm. Lloyd Garrison,-21.9717,55.9263
Leonard Grimes,2.35365,-37.9891
D. Wilson,36.5487,-19.2027
Windom,45.8898,-22.8375
1867.PA-01.08.PHIL.01.txt,1.5769,-62.245
Clayton Miller,32.3063,34.5062
P. G. Wells,-23.8086,-44.3774
J. J. Bias,-33.0927,33.856
G. H. Ruffin,-8.02262,-54.9078
M. C. Briggs,27.5896,48.2029
John A. Warren,2.39187,-54.9349
H. M. Pennington,53.1081,30.5587
Garnet,-52.3175,-23.332
O. Fisher,-16.604,-62.9091
W. H. Mann,18.7504,-52.6757
Francis Datcher,-36.3072,36.0495
Hezekiah Grice,-5.82115,67.5737
William Lewis,1.34005,56.8335
John Lewis,-37.299,32.3252
Elisha Weaver,-18.7265,-39.2608
Felix Whitsill,26.1945,-59.1663
William Nesbit,-29.5739,-36.2034
D. Ruggles,-0.0921801,57.662
H.H. Bruce,-24.6567,-40.0855
Sam Davis,37.767,13.4057
H. J. M'Donald,18.4695,15.0712
Garnetts,-10.1962,10.4471
J. W. Admas,-32.8259,36.4981
C. B. Bass,50.9193,28.5733
V. P. -- H. H. Mauday,-21.6125,55.641
Joseph Agness,-33.4667,36.0007
Amos G. Beeman,-10.0749,11.2387
Robert Duaney,-56.5184,1.08599
J. Brown,53.4345,22.9057
Afric,-21.6424,-41.3986
Samuel R. Ward,44.6972,-14.7345
Richard Ware,65.4645,2.71183
Matthew Howland,-19.9366,-3.29499
D. Jenkins,24.4606,-50.7403
James Sommerset,-36.7771,-8.16852
Douglass Rodes,38.967,13.1839
Thomas Letcher,47.0989,1.75308
G. Geger,3.03474,0.75505
Alex. Clark,4.86443,-80.6276
F. I. Richardson,15.433,18.391
1851.ON-09.11.TORO.txt,-7.50509,-16.0729
Lassen-John C. Jenkins,26.8444,49.0636
C. W.,17.7199,-39.6214
Isaac Lane,42.83,-20.531
John G. Fee,43.2031,-20.6623
William C. Munroe,11.1632,38.4273
John Winer,-32.4972,37.0311
1854.MA-01.02.BOST.txt,-17.762,-3.18801
F.L. Cordoza,-20.3192,-42.198
George H. Baltimore,-56.1615,-4.3846
A.F. Jackson,-8.574,-63.8675
G.B. Gray,47.839,2.49222
William Floyd,-2.60026,-58.0761
T.A. Keen,-25.4419,-40.9823
George Cunningham,47.6154,1.52379
George W. Roots,18.5353,-52.7942
L. H. Peters,-55.1681,24.8009
Wh Harris,-7.4654,-14.8204
Robinson Alexander,11.4256,39.2275
M. Wells,0.515225,-52.4164
G. H. Clay,41.6836,-21.2491
W. Hurst Burnham,21.6416,-54.9843
C. Smith,52.9618,27.7893
J. C. Embry,39.2415,-17.5776
M. C. Munro,-23.6646,-15.9422
David Roach,-16.9987,33.7613
Ellery,-15.5992,33.6532
G. B. Gray,47.0707,1.89028
Hunter,-20.0893,-2.34381
Daniel Koburn,-30.8224,37.2886
J. D. Bonner,-4.98791,9.73489
Fenton M. Harper,18.2292,-52.7553
H. H. Garnis,-26.0275,-18.3819
Richard Livingston,-56.6006,-20.4659
P. Powell,-57.1563,-17.4365
Outley,-25.3633,-16.459
Spencer,-33.5067,35.1404
Charles T. Torrey,-16.4762,-77.1568
Wm. Hamilton,-7.51662,62.5876
E. P. Rorgers,-34.5247,36.4679
Reuben Wood,25.4397,-59.5352
Thomas Downing,-12.0571,64.7173
J. T. Fisher,-6.39741,-15.7294
R. Island,2.32073,57.3239
Patrick H. Reason,-49.4446,-20.0391
James C. Mccrumbell,-9.23021,10.1338
S. B. Hyer,53.0056,26.8557
John N. Smith,-8.26227,11.1817
Samuel Serrington,-58.0313,-19.4232
A. M. Sumner,-26.0727,-13.2313
